index,Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,countries
72163,173 185 Greenwich High Rd Greenwich London SE10 8JA UK,8/6/2015,8.6,Novotel London Greenwich, Trinidad and Tobago ,No Negative, Very pleasant staff,7.9, leisure trip  couple  superior double room  stayed 1 night  submitted from a mobile device ,51.4778583,-0.0137463,uk
73014,173 Gloucester Place Westminster Borough London NW1 6DX UK,8/4/2015,7.7,Park Avenue Baker Street, United Kingdom ,No Negative, Friendly staff and very helpful ,10.0, business trip  couple  2 rooms  stayed 2 nights  submitted from a mobile device ,51.5241452,-0.1609907,uk
73119,177 Boulevard Haussmann 8th arr 75008 Paris France,8/9/2015,8.5,Hotel Plaza Elys es, Australia ,No Negative, Helpful staff and close to facilities ,7.5, leisure trip  couple  classic double room  stayed 3 nights  submitted from a mobile device ,48.8746128,2.3056956,france
73224,177 rue du faubourg Saint Honor 8th arr 75008 Paris France,8/18/2015,8.7,Hotel Champs Elys es Friedland by Happyculture, United Kingdom ,No Negative, Location Ideally suited for the golden triangle perfect,9.6, leisure trip  family with older children  superior twin room with tea time included  stayed 3 nights  submitted from a mobile device ,48.8750848,2.3048372,france
73987,18 21 Charterhouse Square Islington London EC1M 6AH UK,8/5/2015,8.7,Malmaison London, United Kingdom ,No Negative, Liked everything,8.8, leisure trip  couple  standard double room  stayed 1 night  submitted from a mobile device ,51.520943,-0.1004581,uk
74222,18 30 Lexham Gardens Kensington and Chelsea London W8 5JE UK,8/7/2015,8.3,The Park City Grand Plaza Kensington Hotel, United Arab Emirates , Nothing, Staff were amazing very helpful Rooms are clean and comfortable Excellent choice ,10.0, leisure trip  family with young children  deluxe double room  stayed 6 nights  submitted from a mobile device ,51.4954976,-0.1893691,uk
76389,18 Albert Embankment Lambeth London SE1 7TJ UK,8/4/2015,8.3,Park Plaza London Riverbank, China , The hotel and area around it was a building site Our room overlooked a main railway line, location,7.1, leisure trip  couple  superior twin room  stayed 4 nights  submitted from a mobile device ,51.4913737,-0.1214194,uk
77235,18 Avenue De Suffren Entr e au 22 rue Jean Rey 15th arr 75015 Paris France,8/4/2015,8.6,Pullman Paris Tour Eiffel, Ireland , Asked for a room at the upper floors because we arrived late there was only a room at the 2nd floor available , Room location balcony facilities ,7.9, leisure trip  couple  deluxe king room balcony with eiffel tower view  stayed 3 nights  submitted from a mobile device ,48.8555664,2.2926243,france
77828,18 Lodge Road Near Baker Street And Marylebone Westminster Borough London NW8 7JT UK,8/4/2015,8.1,Danubius Hotel Regents Park, United Kingdom , Nothing Everything was just perfect , Everything ,9.6, leisure trip  solo traveler  double room  stayed 1 night ,51.529257,-0.168358,uk
77984,18 rue Bachaumont 2nd arr 75002 Paris France,8/11/2015,8.8,Hotel Bachaumont, Switzerland , Not free WIFI, Excellent service central location,10.0, leisure trip  family with older children  executive room  stayed 3 nights ,48.8663208,2.3450399,france
78072,18 rue Clement Marrot 8th arr 75008 Paris France,8/16/2015,8.6,Franklin Roosevelt, United Arab Emirates , During check in I felt as I was not welcomed which created a bit of miscommunication A receptionist was rude in attitude and manner, Location,6.7, leisure trip  family with older children  superior room  stayed 3 nights  submitted from a mobile device ,48.8678432,2.3033075,france
78271,18 Rue d Antin 2nd arr 75002 Paris France,8/9/2015,8.5,H tel Horset Op ra Best Western Premier Collection, United Kingdom ,No Negative, We had a great stay and would come back again if we had the chance ,10.0, leisure trip  couple  double room  stayed 7 nights ,48.8691686,2.3337818,france
78349,18 rue de Constantinople 8th arr 75008 Paris France,8/11/2015,7.6,Best Western Paris Gare Saint Lazare, United Kingdom , Booking com dreadful no reservation on arrival Poor service from them , Lovely hotel and staff,10.0, leisure trip  family with young children  classic double or twin room  stayed 3 nights  submitted from a mobile device ,48.8803752,2.319591,france
78365,18 Rue du Cirque 8th arr 75008 Paris France,4/9/2017,9.4,Splendide Royal Paris, Germany , Nothing, Everything was perfect,10.0, leisure trip  couple  junior suite saint honor  stayed 2 nights  submitted from a mobile device ,48.8709627,2.3154141,france
78917,181 Cromwell Road Kensington and Chelsea London SW5 0SF UK,8/4/2015,8.6,The Rockwell, United Kingdom , Noise from rooms above, Great location and value for money ,9.2, leisure trip  couple  superior double room  stayed 1 night  submitted from a mobile device ,51.4948059,-0.1926525,uk
78979,181 Tooley Street Southwark London SE1 2JR UK,3/5/2017,9.3,The LaLit London, United Kingdom , Not a great problem but it was obvious it was a new hotel with teething issues, The character of the building,8.3, business trip  solo traveler  standard double room  stayed 1 night  submitted from a mobile device ,51.5032524,-0.078179,uk
79053,185 Boulevard Brune 14th arr 75014 Paris France,4/13/2016,8.4,Mercure Paris Alesia, Taiwan , The room is small , Convenient location Modern decoration and clean environment ,9.6, leisure trip  couple  standard double room  stayed 3 nights  submitted from a mobile device ,48.8237487,2.324056,france
79920,19 21 Gt Marlborough St Westminster Borough London W1F 7HL UK,8/4/2015,8.0,Courthouse Hotel London, United Kingdom ,No Negative, Upgrade was lovely and a surprise cake for our anniversary ,10.0, leisure trip  couple  classic double room  stayed 1 night ,51.5143624,-0.1394483,uk
80469,19 21 Penywern Road Kensington and Chelsea London SW5 9TT UK,8/9/2015,7.7,Best Western The Boltons Hotel London Kensington, Oman ,No Negative, Near the underground tube,6.3, leisure trip  couple  double room  stayed 7 nights  submitted from a mobile device ,51.4907493,-0.1934627,uk
81042,19 25 Granville Place Marble Arch Westminster Borough London W1H 6PA UK,8/4/2015,8.0,Radisson Blu Edwardian Sussex, United Kingdom , I found the room single room although we booked it double then I was charged extra for the upgrade Then the duouble room was too small for a human ,No Positive,5.0, business trip  couple  2 rooms  stayed 1 night  submitted from a mobile device ,51.5144381,-0.1558337,uk
81100,19 avenue Kleber 16th arr 75116 Paris France,8/17/2015,9.5,Hotel The Peninsula Paris, Australia , Breakfast service needs more staff and attention to timing of bringing meals together, Immaculate and excellent service,10.0, leisure trip  couple  superior double room with spa access free wifi  stayed 2 nights  submitted from a mobile device ,48.8710605,2.2933537,france
81157,19 Boulevard De La Tour Maubourg 7th arr 75007 Paris France,9/26/2016,9.5,Le Narcisse Blanc Spa, Australia , Pricing of food and drinks was expensive for what it was , The staff were extremely accomodating and pleasant ,8.8, leisure trip  couple  classic double room  stayed 3 nights  submitted from a mobile device ,48.8605125,2.3106533,france
81258,19 Brent Street Brent Cross London NW4 2EU UK,8/6/2015,8.6,The Pillar Hotel, United Kingdom ,No Negative, The hotel room and staff,9.2, leisure trip  couple  executive double or twin room  stayed 1 night  submitted from a mobile device ,51.583236,-0.216868,uk
81472,19 New Bridge Street City of London London EC4V 6DB UK,8/8/2015,8.6,Crowne Plaza London The City, United Kingdom ,No Negative, Upgraded For Husbands 30th Birthday,9.6, leisure trip  couple  standard double room  stayed 1 night  submitted from a mobile device ,51.5122429,-0.1045036,uk
81542,19 place du Panth on 5th arr 75005 Paris France,8/9/2015,8.8,H tel Les Dames du Panth on, United Kingdom , Breakfast room was a bit sad in the basement Breakfast a bit overpriced for what you got which was not much, Excellent service location facilities,10.0, leisure trip  couple  classic room  stayed 2 nights  submitted from a mobile device ,48.845743,2.34493,france
81590,19 Rue Copernic 16th arr 75016 Paris France,10/3/2015,7.9,H tel Victor Hugo Paris Kl ber, Czech Republic ,No Negative, Very special thanks for Olga who kindly care of us all the time ,10.0, leisure trip  couple  classic double room  stayed 2 nights  submitted from a mobile device ,48.8690198,2.2891278,france
81745,19 Rue Cujas 5th arr 75005 Paris France,8/23/2015,8.8,Grand Hotel Saint Michel, New Zealand ,No Negative, The staff were exceptionally helpful ,9.2, leisure trip  family with older children  triple room relax  stayed 4 nights  submitted from a mobile device ,48.8478399,2.342254,france
81836,19 Rue De Caumartin 9th arr 75009 Paris France,9/18/2015,8.8,Hotel Maison Ath n e, Australia ,No Negative, The staff were polite and very helpful Small hotel but that is what we liked about it ,10.0, leisure trip  couple  2 rooms  stayed 4 nights ,48.8713421,2.3280723,france
81924,19 Rue Des Pretres Saint Germain L Auxerrois 1st arr 75001 Paris France,8/11/2015,8.9,Relais Du Louvre, South Africa ,No Negative, Perfect location the welcoming staff comfort and tranquility of the rooms,9.6, business trip  family with older children  2 rooms  stayed 1 night ,48.8592264,2.340996,france
82190,19 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,8/4/2015,8.1,Pullman Paris Montparnasse, United States of America , Tv kept going out u need to fire ur pay for view company, Breakfast and local,8.3, leisure trip  couple  classic queen room  stayed 5 nights  submitted from a mobile device ,48.8382943,2.3210421,france
82332,19 Rue Du Pont Neuf 1st arr 75001 Paris France,8/14/2015,7.7,Best Western Ducs de Bourgogne, United Kingdom , Not enough tea coffee water provided, Comfy bed good air conditioning,8.0, leisure trip  couple  classic double room  stayed 4 nights  submitted from a mobile device ,48.8603483,2.3440535,france
82473,19 Rue Tronchet 8th arr 75008 Paris France,8/5/2015,8.6,Best Western Premier Op ra Opal, Canada , Carpet very dirty Wifi barely worked Elevator too small for luggage, Good location Friendly staff,5.0, leisure trip  couple  superior double room  stayed 4 nights  submitted from a mobile device ,48.8722588,2.3257608,france
82575,19 Rue Vernet 8th arr 75008 Paris France,8/16/2015,7.7,Amarante Champs Elys es, Saudi Arabia ,No Negative, The hotel had unplanned renovation which makes it without AC However the staff were very helpfull to arrange for substitute Thanks,6.7, leisure trip  family with young children  double room  stayed 5 nights  submitted from a mobile device ,48.8717649,2.2983855,france
83096,190 Queen s Gate Kensington and Chelsea London SW7 5EX UK,8/10/2015,8.6,The Gore Hotel Starhotels Collezione, United Kingdom ,No Negative, The Staff were excellent and did everything they could to help us I would stay at The Gore again ,9.2, leisure trip  group  deluxe triple room  stayed 1 night ,51.5001979,-0.1795357,uk
83851,199 206 High Holborn Camden London WC1V 7BD UK,8/4/2015,9.2,The Hoxton Holborn, United Kingdom , a bit expensive, close to the station,9.6, leisure trip  group  double room  stayed 1 night ,51.5172398,-0.1220324,uk
84293,1a Lexham Gardens Kensington and Chelsea London W8 5JJ UK,8/9/2015,7.5,Mercure London Kensington Hotel, United Kingdom ,No Negative, Everything Location staff food accommodation comfort ,10.0, leisure trip  couple  small double room  stayed 2 nights  submitted from a mobile device ,51.4950098,-0.1906195,uk
85167,2 24 Kensington High St Kensington and Chelsea London W8 4PT UK,8/4/2015,8.8,Royal Garden Hotel, Guernsey , Paid wifi, View of the park lovely room,8.8, leisure trip  couple  twin room  stayed 1 night ,51.5027022,-0.1882164,uk
85179,2 4 Boundary Street Hackney London E2 7DD UK,11/27/2015,8.4,Boundary Rooms Suites, United Kingdom ,No Negative, Very stylish modern rooms Cafe Shop Part of Hotel again very stylish and high standard ,8.3, leisure trip  couple  king room  stayed 1 night ,51.5244224,-0.0764614,uk
85268,2 4bis Cit Rougemont 9th arr 75009 Paris France,6/7/2016,9.1,H tel Ad le Jules, United Kingdom ,No Negative, Everything was excellent we couldn t fault it Staff were most helpful special mention to Adrian Good job X,10.0, leisure trip  couple  superior double room  stayed 3 nights  submitted from a mobile device ,48.8721062,2.3451384,france
85478,2 5 Montague Street Bloomsbury Camden London WC1B 5BU UK,8/8/2015,7.9,Grange White Hall Hotel, United Kingdom ,No Negative, Really friendly welcoming staff Room had excellent garden view,10.0, leisure trip  couple  double room  stayed 3 nights  submitted from a mobile device ,51.5203469,-0.1260893,uk
86371,2 8 Great Suffolk Street Southwark London SE1 0UG UK,10/18/2015,9.3,Hilton London Bankside, United States of America ,No Negative, Brand you 5 Star Hilton thus south of London Bridge Great luxury hotel with all the amenities Fantastic cuisine ,10.0, business trip  solo traveler  king guest room  stayed 3 nights ,51.5056956,-0.101525,uk
87051,2 8 Hanger Lane Ealing Common London W5 3HN UK,8/4/2015,8.4,DoubleTree by Hilton London Ealing, United Kingdom ,No Negative, Staff welcome Breakfast Room cleanliness,7.9, leisure trip  couple  junior suite  stayed 2 nights ,51.511521,-0.290706,uk
87124,2 avenue la Porte Molitor 16th arr 75016 Paris France,8/4/2015,8.8,Molitor Paris MGallery by Sofitel, United Kingdom , Nothing, A real gem on the outskirts of Paris and what a surprise Staff facilities and location excellent ,9.6, leisure trip  couple  classic double room  stayed 2 nights ,48.8448902,2.252833,france
87196,2 Bd Garibaldi 15th arr 75015 Paris France,9/10/2015,8.3,First Hotel Paris Tour Eiffel, United States of America , Wifi was weak hard to get onto it , Nice hotel gave us exactly what we requested Great friendly staff ,10.0, leisure trip  family with older children  suite  stayed 1 night  submitted from a mobile device ,48.8475112,2.3022198,france
88259,2 Bridge Place Victoria Westminster Borough London SW1V 1QA UK,8/5/2015,8.4,DoubleTree by Hilton London Victoria, United Kingdom ,No Negative, very handy location cleanliness and superb breakfast ,9.6, leisure trip  family with older children  triple family guestroom  stayed 2 nights ,51.49398,-0.143372,uk
88643,2 Caxton Street Westminster Borough London SW1H 0QW UK,8/9/2015,8.9,St Ermin s Hotel Autograph Collection, United Kingdom ,No Negative, Great staff and restaurant,8.3, business trip  couple  king room  stayed 1 night ,51.498905,-0.1339093,uk
88754,2 Montagu Place Westminster Borough London W1H 2ER UK,9/30/2015,9.1,Montagu Place Hotel, Australia ,No Negative, the staff the location,8.3, leisure trip  couple  executive double room  stayed 3 nights ,51.5191009,-0.1592,uk
89126,2 place des Pyramides 1st arr 75001 Paris France,8/4/2015,9.0,H tel Regina, Saudi Arabia , Breakfast should be included, Very comfortable,9.6, leisure trip  family with young children  family room  stayed 1 night  submitted from a mobile device ,48.8637503,2.3320406,france
89537,2 place Louis Armand 12th arr 75012 Paris France,8/4/2015,7.9,Mercure Paris Gare De Lyon TGV, Taiwan ,No Negative, nice breakfast wifi is the fastest in France ,10.0, business trip  group  standard twin room  stayed 3 nights ,48.8442949,2.3730938,france
89589,2 Rue Boulard 14th arr 75014 Paris France,9/12/2015,7.6,Villa Montparnasse, United Kingdom , Although clean the bath was badly chipped and the bathroom could have done with a lick of paint , The staff and fact we d been before ,7.5, leisure trip  couple  classic double room  stayed 3 nights  submitted from a mobile device ,48.8349272,2.3295913,france
89772,2 Rue d Artois 8th arr 75008 Paris France,8/4/2015,8.4,H tel des Champs Elys es, Ireland , Lift small and slow, Quiet room Reasonable breakfast with great fresh orange juice,7.1, business trip  solo traveler  classic double room  stayed 1 night  submitted from a mobile device ,48.8722884,2.3090359,france
89869,2 rue de Gramont 2nd arr 75002 Paris France,8/18/2015,8.9,Lyric H tel Paris, Australia , Breakfast Room and poor staff in this area , Friendly Staff,5.8, leisure trip  couple  junior suite  stayed 6 nights ,48.8690126,2.3368708,france
89962,2 Rue De Parme 9th arr 75009 Paris France,8/7/2015,9.2,Hotel Design Secret de Paris, Luxembourg ,No Negative, design and location,10.0, leisure trip  couple  mus e d orsay double room  stayed 1 night ,48.8814056,2.3282568,france
89985,2 rue des Guillemites 4th arr 75004 Paris France,8/9/2015,9.3,Hotel Dupond Smith, United States of America , Room size was small, Hospitality was perfect ,10.0, leisure trip  family with older children  superior queen room  stayed 5 nights  submitted from a mobile device ,48.857898,2.3571978,france
90028,2 Rue du Colonel Pierre Avia 15th arr 75015 Paris France,6/9/2017,9.2,Okko Hotels Paris Porte De Versailles, Netherlands ,No Negative, The peach that I had for breakfast was the most tasty in my life The staff is super nice I also liked the interior design of my room ,9.2, business trip  solo traveler  comfort double room  stayed 1 night ,48.8327729,2.2787597,france
90104,2 Rue Duperr 9th arr 75009 Paris France,9/3/2015,8.1,La Villa Royale, United Kingdom , Fairly close to the red light district completely safe but a bit seedy, Unique decor for each bedroom,7.1, leisure trip  couple  classic double room  stayed 1 night ,48.8821595,2.3367444,france
90219,2 Rue Edouard VII 9th arr 75009 Paris France,8/7/2015,9.1,Hotel Indigo Paris Opera, Ireland , Modern design delivered style over comfort , Location ,9.2, leisure trip  couple  superior double room  stayed 3 nights  submitted from a mobile device ,48.8704371,2.329236,france
90315,2 rue Geoffroy Marie 9th arr 75009 Paris France,9/6/2015,8.4,Villa Opera Drouot, Australia , No air con , Friendly and helpful staff Excellent safe and easily accessible location A room with plenty of French character ,8.3, leisure trip  couple  standard double room  stayed 3 nights  submitted from a mobile device ,48.8732231,2.3436097,france
90881,2 Rue Hector Malot 12th arr 75012 Paris France,8/4/2015,8.5,Novotel Paris Gare De Lyon, South Korea , sofa bed is some small but the price is good, very clean and near to station,9.6, leisure trip  family with young children  superior room with queensize bed and double couch 2 adults 2 children  stayed 2 nights ,48.8453785,2.3753036,france
90963,2 Rue Racine 6th arr 75006 Paris France,8/26/2015,8.3,H tel Belloy Saint Germain By Happyculture, United Kingdom , nothing really, helpful staff comfortable rooms and a great location Family room comprising 2 rooms was perfect for family ,8.3, leisure trip  family with young children  family room  stayed 4 nights ,48.8503901,2.3422527,france
91018,2 Rue Saint Sulpice 6th arr 75006 Paris France,8/10/2015,8.4,Hotel Louis 2, Japan , The rooms are small enough to not spread the suitcase , staffs are friendly ,9.6, leisure trip  couple  double room with shower  stayed 5 nights  submitted from a mobile device ,48.8516148,2.3381293,france
91168,2 Rue Scribe 9th arr 75009 Paris France,8/4/2015,8.8,InterContinental Paris Le Grand, United Kingdom ,No Negative, Location and really felt that we were in France The whole stay was very relaxed and pleasant Thank you ,10.0, business trip  group  2 rooms  stayed 2 nights ,48.8708391,2.3303651,france
91531,2 Spring Gardens Trafalgar Square Westminster Borough London SW1A 2TS UK,8/4/2015,8.1,The Trafalgar Hilton, South Africa , Old tired furnishings, Location,5.8, leisure trip  family with older children  deluxe king plus  stayed 3 nights  submitted from a mobile device ,51.507374,-0.129135,uk
92588,2 Stanhope Row Park Lane Westminster Borough London W1J 7BS UK,8/4/2015,7.0,Park Lane Mews Hotel, United Kingdom , Cost for what was on offer, Location was perfect for Ride London,5.5, leisure trip  couple  double room  stayed 2 nights ,51.5059334,-0.1489418,uk
92728,2 Sylvester Path Hackney London E8 1EN UK,8/4/2015,7.9,Old Ship Inn Hackney, United Kingdom , Room small an sweltering with no air con Breakfast needs to be upgraded, Great location pleasant staff,7.5, leisure trip  couple  double room  stayed 1 night  submitted from a mobile device ,51.5458476,-0.0554113,uk
93119,2 The Avenue Ealing London W13 8PH UK,8/10/2015,8.8,The Drayton Court Hotel, United Kingdom , Car park was a squeeze at the entrance and easily missed, Room was excellent with great touches and clean and beautiful bathroom,8.8, business trip  solo traveler  double room  stayed 1 night ,51.5141842,-0.3192925,uk
94180,2 Wallenberg Place Westminster Borough London W1H 7TN UK,8/4/2015,8.9,The Montcalm Marble Arch, United Kingdom , Basic impersonal no sense of occasion,No Positive,5.4, business trip  couple  deluxe double room  stayed 2 nights  submitted from a mobile device ,51.5150522,-0.159239,uk
94381,2 Warrington Crescent Westminster Borough London W9 1ER UK,8/10/2015,7.8,The Colonnade, Spain ,No Negative, A lovely location and good base to explore London aware from the hustle and bustle of the city centre ,7.5, leisure trip  couple  classic double room  stayed 1 night ,51.5243286,-0.1846623,uk
95355,2 Whitehall Court Westminster Borough London SW1A 2EJ UK,8/4/2015,8.9,The Royal Horseguards, Australia , Nothing to report here, The sense of being cared for We got all that we expected from a top city hotel ,9.2, leisure trip  couple  deluxe double room  stayed 3 nights ,51.5054185,-0.1241499,uk
95810,20 28 Bolsover Street Westminster Borough London W1W 5NB UK,8/8/2015,8.1,Grange Fitzrovia Hotel, United Kingdom ,No Negative, Friendly staff couldn t fault the hotel really,10.0, leisure trip  couple  superior double room  stayed 1 night  submitted from a mobile device ,51.521759,-0.1425381,uk
95941,20 bis rue de la Ga t 14th arr 75014 Paris France,8/10/2015,8.2,H tel Le M, United States of America , Nothing, Great hotel and staff Nice sized room and bathroom,9.6, leisure trip  family with older children  double or twin room  stayed 3 nights ,48.8397623,2.3235324,france
96176,20 Chesham Place Kensington and Chelsea London SW1X 8HQ UK,1/4/2016,9.2,The Hari London, Monaco , The lady on the end of the phone for room service in the morning was a little stern and could do with writing the orders down so as not to have to go backwards and forwards several times , The location of the hotel is perfect My room had a bay window overlooking the square gardens and the tree tops and I loved looking out of the window in the morning The staff were exceptionally helpful especially the Spanish bell boy who sorted out everything from a room change to extra lighting Smiles and hellos all around The bar is very relaxed and is beautifully decorated The food there and in the restaurant is very very good ,9.2, solo traveler  premium king room  stayed 3 nights ,51.4973203,-0.1562558,uk
97693,20 Lavington Street Southwark London SE1 0NZ UK,8/4/2015,9.1,citizenM London Bankside, Poland ,No Negative, Location design comfort overall experience ,10.0, business trip  solo traveler  double room  stayed 4 nights ,51.5051507,-0.1004724,uk
98460,20 Mercer Street Covent Garden Camden London WC2H 9HD UK,8/10/2015,8.7,Radisson Blu Edwardian Mercer Street, United Kingdom , Nothing, Staff very nice and helpful location couldn t be better,10.0, leisure trip  couple  studio suite  stayed 2 nights ,51.5139275,-0.1271506,uk
99236,20 Nevern Square Kensington and Chelsea London SW5 9PD UK,8/4/2015,8.3,Twenty Nevern Square Hotel, Australia , No tea coffee making facilities in room but can order through room service However doesn t always arrive hot,No Positive,9.2, leisure trip  family with older children  luxury four poster  stayed 2 nights ,51.4915712,-0.1963192,uk
99326,20 Pembridge Gardens Kensington and Chelsea London W2 4DU UK,9/15/2015,7.8,The Abbey Court Notting Hill, Switzerland , Beds very high to get in and out of , Very helpful staff,7.9, leisure trip  couple  standard twin room  stayed 1 night ,51.5101401,-0.1968951,uk
99374,20 rue Berthollet 5th arr 75005 Paris France,9/7/2015,8.5,Seven Hotel, United Kingdom ,No Negative, The atmosphere of the hotel the decor of the whole thing was amazing Loved the bar ,10.0, leisure trip  couple  classic designer  stayed 3 nights ,48.8389823,2.3455528,france
99487,20 rue de l Ing nieur Robert Keller 15th arr 75015 Paris France,8/6/2015,8.6,Platine Hotel Spa, United Kingdom , Breakfast wasn t included in the price of our room, Beautiful decor Friendly and helpful staff Comfortable bed Amazing bathroom with hot tub,9.2, leisure trip  couple  superior double room  stayed 2 nights  submitted from a mobile device ,48.8473459,2.2832408,france
99524,20 Rue De La Ga t 14th arr 75014 Paris France,9/20/2015,7.8,Mercure Paris Gare Montparnasse, Philippines ,No Negative, Location room cleanliness Breakfast was nutritious Safe environment ,7.9, leisure trip  family with older children  standard double room with sofa  stayed 3 nights  submitted from a mobile device ,,,france
99599,20 rue du Sommerard 5th arr 75005 Paris France,9/11/2015,8.0,Mercure Paris Notre Dame Saint Germain des Pr s, Brazil , Tiny room but as almost every other hotel in the area , Excellent location and efficient staff ,8.8, leisure trip  couple  standard double room  stayed 2 nights ,48.8503074,2.3450612,france
100370,20 Rue Jean Rey 15th arr 75015 Paris France,8/4/2015,8.0,Mercure Paris Centre Tour Eiffel, United States of America , Staff responses early into our stay , location,7.1, leisure trip  couple  standard room with double bed and sofa bed  stayed 3 nights  submitted from a mobile device ,48.8548641,2.2923181,france
100529,20 Rue La Fayette 9th arr 75009 Paris France,8/4/2015,8.4,Banke H tel, United Kingdom , location is excellent, The breakfast is bad wifi is slow as well ,8.3, leisure trip  couple  superior double room  stayed 4 nights ,48.8735736,2.335965,france
102122,20 Upper Ground Southwark London SE1 9PD UK,8/4/2015,9.1,Mondrian London, United Kingdom , Staff were awesome, Room so big and comfortable,8.3, leisure trip  group  superior  stayed 1 night  submitted from a mobile device ,51.5084036,-0.1067988,uk
102315,20 Warwick Street Westminster Borough London W1B 5NF UK,8/18/2015,8.1,Karma Sanctum Soho Hotel, United States of America , Nothing, Location style,9.6, leisure trip  solo traveler  small double room  stayed 3 nights  submitted from a mobile device ,51.5116049,-0.1383145,uk
102540,202 220 Cromwell Road Kensington and Chelsea London SW5 0SW UK,8/4/2015,8.2,NH London Kensington, United Kingdom , Nothing really, Location room staff were all amazing,10.0, leisure trip  couple  standard double  stayed 3 nights  submitted from a mobile device ,51.4948507,-0.1945544,uk
103240,202 rue de Rivoli 1st arr 75001 Paris France,8/6/2015,8.0,Saint James Albany Paris Hotel Spa, Hong Kong , I heard the noise from the room upstairs,No Positive,6.7, leisure trip  family with older children  duplex junior suite with spa access  stayed 1 night  submitted from a mobile device ,48.8642689,2.3308179,france
103319,207 Boulevard Raspail 14th arr 75014 Paris France,9/5/2015,8.2,Mercure Paris Montparnasse Raspail, Colombia ,No Negative, Excellent location friendly staff small but very comfortable ,9.2, leisure trip  solo traveler  superior room with 2 zip beds  stayed 6 nights  submitted from a mobile device ,48.8412131,2.3302954,france
103487,209 211 rue de Charenton 12th arr 75012 Paris France,1/13/2016,8.7,Golden Tulip Bercy Gare de Lyon 209, United Kingdom ,No Negative, close to gare de Lyon where we arrived and very close to Gare de Bercy where we were picking up our car from the Autotrain Tea making facilities ,8.8, leisure trip  couple  standard twin room  stayed 1 night ,48.8393229,2.3892274,france
103715,21 Avenue De La Grande Arm e 16th arr 75016 Paris France,8/23/2015,8.2,Montfleuri, Saudi Arabia , it s small, the price,9.2, leisure trip  solo traveler  classic double or single room  stayed 1 night  submitted from a mobile device ,48.8747153,2.2906388,france
103830,21 Avonmore Road Kensington Hammersmith and Fulham London W14 8RP UK,8/9/2015,7.7,Simply Rooms Suites, United Kingdom ,No Negative, really good one quiet n clean,10.0, business trip  couple  classic double room  stayed 2 nights  submitted from a mobile device ,51.4944875,-0.2070605,uk
103895,21 Boulevard De Clichy 9th arr 75009 Paris France,5/12/2016,8.3,Mercure Paris Pigalle Sacre Coeur, India , Very small rooms, Comfy bed cleanliness helpful staff ,8.3, leisure trip  couple  standard double room  stayed 4 nights  submitted from a mobile device ,48.8823398,2.3364764,france
104153,21 Gower Street Camden London WC1E 6HG UK,8/9/2015,7.8,The Academy, Australia ,No Negative, Great location,7.5, leisure trip  couple  double room  stayed 4 nights  submitted from a mobile device ,51.5205441,-0.1308091,uk
104413,21 Piccadilly Westminster Borough London W1J 0BH UK,6/25/2017,7.6,Le Meridien Piccadilly, United Kingdom , Rude staff at reception insisting on passport ID from both room guests as if it was some kind of police identity parade,No Positive,7.1, leisure trip  couple  classic double or twin room  stayed 1 night ,51.5094835,-0.1362538,uk
105872,21 rue de Dunkerque 10th arr 75010 Paris France,8/4/2015,7.4,Mercure Paris Terminus Nord, United Kingdom , The hotel needs to be refurbished Poor hygiene , Location was good ,4.6, leisure trip  family with older children  standard room with 1 double bed  stayed 1 night ,48.8794843,2.3556545,france
105938,21 rue F licien David 16th arr 75016 Paris France,8/6/2015,8.4,H tel F licien by Elegancia, United Kingdom , We only stayed one night , beautiful little pool and sauna in basement,9.6, leisure trip  couple  standard double room  stayed 1 night ,48.8493082,2.2743626,france
105950,21 rue Lavoisier 8th arr 75008 Paris France,8/26/2015,8.0,Le Lavoisier, Saudi Arabia , everything, nothing,2.5, leisure trip  couple  double room  stayed 4 nights  submitted from a mobile device ,48.8737702,2.3201063,france
106074,21 rue Moli re 1st arr 75001 Paris France,8/4/2015,9.2,H tel Moli re, United States of America , Missing an outdoor space Would like to have more food availability , Great location friendly staff quiet and cool rooms ,9.6, leisure trip  family with older children  2 rooms  stayed 3 nights ,48.8655293,2.3360102,france
106133,213 rue de la Croix Nivert 15th arr 75015 Paris France,8/13/2015,8.3,Vice Versa, United Kingdom ,No Negative, Always friendly and accommodating,9.6, family with older children  classic room  stayed 5 nights ,48.8363819,2.2897793,france
106219,214 High Street Acton London London W3 9NX UK,11/13/2016,8.9,The Kings Head Hotel, United Kingdom , Cosy room, TV in bathroom,9.2, leisure trip  couple  classic double room  stayed 1 night  submitted from a mobile device ,51.5079153,-0.2730145,uk
106371,214 rue du Faubourg Saint Honor 8th arr 75008 Paris France,8/8/2015,8.2,H tel Etoile Saint Honor by Happyculture, United Kingdom ,No Negative, Good rooms and friendly staff from day one,9.2, leisure trip  family with older children  2 rooms  stayed 3 nights  submitted from a mobile device ,48.8756508,2.3041568,france
106428,214 rue Saint Jacques 5th arr 75005 Paris France,8/29/2015,8.8,Hotel Le petit Paris, Jordan , it dos not worth the money I paid room is very small and not as per the site even I could not find a space to put my luggage, no thing,3.8, leisure trip  couple  classic double room  stayed 1 night ,48.8452789,2.342295,france
